Entity,Code,Year,Fertilizer use
Brazil,BRA,1961,1.75
Brazil,BRA,1962,1.57
Brazil,BRA,1963,1.91
Brazil,BRA,1964,1.54
Brazil,BRA,1965,2.1
Brazil,BRA,1966,2.09
Brazil,BRA,1967,3.07
Brazil,BRA,1968,4.11
Brazil,BRA,1969,4.61
Brazil,BRA,1970,7.7
Brazil,BRA,1971,7.44
Brazil,BRA,1972,10.67
Brazil,BRA,1973,8.73
Brazil,BRA,1974,9.49
Brazil,BRA,1975,9.62
Brazil,BRA,1976,10.98
Brazil,BRA,1977,14.43
Brazil,BRA,1978,13.58
Brazil,BRA,1979,14.19
Brazil,BRA,1980,15.61
Brazil,BRA,1981,11.32
Brazil,BRA,1982,10.72
Brazil,BRA,1983,9.33
Brazil,BRA,1984,13.14
Brazil,BRA,1985,13.28
Brazil,BRA,1986,15.94
Brazil,BRA,1987,15.89
Brazil,BRA,1988,13.81
Brazil,BRA,1989,13.9
Brazil,BRA,1990,14.11
Brazil,BRA,1991,15.05
Brazil,BRA,1992,15.6
Brazil,BRA,1993,20.62
Brazil,BRA,1994,23.76
Brazil,BRA,1995,22.75
Brazil,BRA,1996,24.5
Brazil,BRA,1997,27.65
Brazil,BRA,1998,29.18
Brazil,BRA,1999,30.8
Brazil,BRA,2000,30.4
Brazil,BRA,2001,29.38
Brazil,BRA,2002,34.84
Brazil,BRA,2003,39.48
Brazil,BRA,2004,44.44
Brazil,BRA,2005,36.9
Brazil,BRA,2006,38.71
Brazil,BRA,2007,50.85
Brazil,BRA,2008,46.16
Brazil,BRA,2009,39.59
Brazil,BRA,2010,50.14
Brazil,BRA,2011,61.74
Brazil,BRA,2012,55.57
Brazil,BRA,2013,65.13
Brazil,BRA,2014,72.22
Brazil,BRA,2015,55.6
Brazil,BRA,2016,57.42
Brazil,BRA,2017,71.74
Brazil,BRA,2018,72.33
Brazil,BRA,2019,77.33
Brazil,BRA,2020,93.06
Russia,RUS,1992,19.61
Russia,RUS,1993,15.62
Russia,RUS,1994,6.9
Russia,RUS,1995,7.73
Russia,RUS,1996,7.69
Russia,RUS,1997,7.34
Russia,RUS,1998,6.49
Russia,RUS,1999,7.56
Russia,RUS,2000,7.6
Russia,RUS,2001,8.67
Russia,RUS,2002,7.24
Russia,RUS,2003,6.8
Russia,RUS,2004,6.76
Russia,RUS,2005,6.99
Russia,RUS,2006,7.41
Russia,RUS,2007,8.46
Russia,RUS,2008,9.8
Russia,RUS,2009,10.02
Russia,RUS,2010,9.66
Russia,RUS,2011,10.23
Russia,RUS,2012,9.56
Russia,RUS,2013,9.45
Russia,RUS,2014,9.68
Russia,RUS,2015,10.23
Russia,RUS,2016,11.71
Russia,RUS,2017,12.26
Russia,RUS,2018,12.49
Russia,RUS,2019,13.99
Russia,RUS,2020,15.52
India,IND,1961,1.55
India,IND,1962,2.05
India,IND,1963,2.33
India,IND,1964,3.42
India,IND,1965,3.54
India,IND,1966,4.53
India,IND,1967,6.32
India,IND,1968,7.34
India,IND,1969,8.24
India,IND,1970,8.96
India,IND,1971,10.93
India,IND,1972,11.15
India,IND,1973,11.02
India,IND,1974,10.6
India,IND,1975,16.47
India,IND,1976,14.71
India,IND,1977,17.44
India,IND,1978,20.33
India,IND,1979,20.77
India,IND,1980,21.87
India,IND,1981,24.16
India,IND,1982,23.96
India,IND,1983,27.52
India,IND,1984,31.48
India,IND,1985,33.96
India,IND,1986,38.54
India,IND,1987,33.6
India,IND,1988,42.26
India,IND,1989,42.07
India,IND,1990,44.47
India,IND,1991,47.28
India,IND,1992,49.57
India,IND,1993,51.55
India,IND,1994,55.82
India,IND,1995,57.81
India,IND,1996,60.85
India,IND,1997,64.09
India,IND,1998,66.78
India,IND,1999,68.1
India,IND,2000,64.19
India,IND,2001,66.6
India,IND,2002,61.57
India,IND,2003,65.24
India,IND,2004,68.94
India,IND,2005,74.99
India,IND,2006,81.2
India,IND,2007,85.21
India,IND,2008,87.75
India,IND,2009,91.67
India,IND,2010,97.21
India,IND,2011,102.54
India,IND,2012,99.33
India,IND,2013,98.85
India,IND,2014,100.02
India,IND,2015,102.54
India,IND,2016,98.84
India,IND,2017,100.41
India,IND,2018,104.45
India,IND,2019,111.84
India,IND,2020,120.97
China,CHN,1961,5.21
China,CHN,1962,7.78
China,CHN,1963,9.37
China,CHN,1964,12.04
China,CHN,1965,17.68
China,CHN,1966,25.88
China,CHN,1967,19.05
China,CHN,1968,20.96
China,CHN,1969,25.83
China,CHN,1970,33.16
China,CHN,1971,33.28
China,CHN,1972,38.26
China,CHN,1973,44.3
China,CHN,1974,38.07
China,CHN,1975,50.54
China,CHN,1976,47.74
China,CHN,1977,71.09
China,CHN,1978,93.37
China,CHN,1979,107.11
China,CHN,1980,121.97
China,CHN,1981,115.28
China,CHN,1982,116.9
China,CHN,1983,123.84
China,CHN,1984,128.86
China,CHN,1985,110.71
China,CHN,1986,107.32
China,CHN,1987,132.11
China,CHN,1988,144.41
China,CHN,1989,145.38
China,CHN,1990,148.96
China,CHN,1991,150.86
China,CHN,1992,155.54
China,CHN,1993,138.49
China,CHN,1994,147.38
China,CHN,1995,182.93
China,CHN,1996,194.36
China,CHN,1997,176.48
China,CHN,1998,176
China,CHN,1999,185.65
China,CHN,2000,170.25
China,CHN,2001,171.65
China,CHN,2002,190.82
China,CHN,2003,191.15
China,CHN,2004,198.11
China,CHN,2005,200.26
China,CHN,2006,203.92
China,CHN,2007,208.51
China,CHN,2008,210.63
China,CHN,2009,213.92
China,CHN,2010,218.32
China,CHN,2011,222.8
China,CHN,2012,226.64
China,CHN,2013,227.88
China,CHN,2014,229.4
China,CHN,2015,228.12
China,CHN,2016,225.23
China,CHN,2017,219.04
China,CHN,2018,208.64
China,CHN,2019,198.23
China,CHN,2020,190.85
South Africa,ZAF,1961,4.47
South Africa,ZAF,1962,5.78
South Africa,ZAF,1963,6.91
South Africa,ZAF,1964,7.54
South Africa,ZAF,1965,7.94
South Africa,ZAF,1966,7.88
South Africa,ZAF,1967,10.52
South Africa,ZAF,1968,11.54
South Africa,ZAF,1969,12.01
South Africa,ZAF,1970,14.45
South Africa,ZAF,1971,16.65
South Africa,ZAF,1972,20.19
South Africa,ZAF,1973,18.43
South Africa,ZAF,1974,18.33
South Africa,ZAF,1975,22.71
South Africa,ZAF,1976,25.12
South Africa,ZAF,1977,27.25
South Africa,ZAF,1978,30.03
South Africa,ZAF,1979,31.7
South Africa,ZAF,1980,36.91
South Africa,ZAF,1981,41.8
South Africa,ZAF,1982,37.61
South Africa,ZAF,1983,29.07
South Africa,ZAF,1984,32.33
South Africa,ZAF,1985,29.95
South Africa,ZAF,1986,28.91
South Africa,ZAF,1987,25.54
South Africa,ZAF,1988,29.53
South Africa,ZAF,1989,28.86
South Africa,ZAF,1990,28.82
South Africa,ZAF,1991,27.12
South Africa,ZAF,1992,26.94
South Africa,ZAF,1993,29.97
South Africa,ZAF,1994,27.25
South Africa,ZAF,1995,27.93
South Africa,ZAF,1996,28.95
South Africa,ZAF,1997,28.84
South Africa,ZAF,1998,28.88
South Africa,ZAF,1999,29.23
South Africa,ZAF,2000,29.29
South Africa,ZAF,2001,27.9
South Africa,ZAF,2002,33.83
South Africa,ZAF,2003,30.06
South Africa,ZAF,2004,31.26
South Africa,ZAF,2005,25.62
South Africa,ZAF,2006,33.08
South Africa,ZAF,2007,33.91
South Africa,ZAF,2008,32.18
South Africa,ZAF,2009,31.7
South Africa,ZAF,2010,30.47
South Africa,ZAF,2011,33.67
South Africa,ZAF,2012,34.24
South Africa,ZAF,2013,32.55
South Africa,ZAF,2014,31.82
South Africa,ZAF,2015,28.76
South Africa,ZAF,2016,26.34
South Africa,ZAF,2017,37.86
South Africa,ZAF,2018,30.69
South Africa,ZAF,2019,30.69
South Africa,ZAF,2020,30.69
United States,USA,1961,16.19
United States,USA,1962,18.98
United States,USA,1963,21.06
United States,USA,1964,22.92
United States,USA,1965,25.86
United States,USA,1966,29.61
United States,USA,1967,33.63
United States,USA,1968,34.25
United States,USA,1969,34.64
United States,USA,1970,37.67
United States,USA,1971,38.5
United States,USA,1972,39.32
United States,USA,1973,42.63
United States,USA,1974,42.34
United States,USA,1975,47.3
United States,USA,1976,50.94
United States,USA,1977,49.06
United States,USA,1978,49.8
United States,USA,1979,53.2
United States,USA,1980,55.93
United States,USA,1981,53.75
United States,USA,1982,46.55
United States,USA,1983,49.92
United States,USA,1984,54.3
United States,USA,1985,51.51
United States,USA,1986,49.14
United States,USA,1987,50.3
United States,USA,1988,51.05
United States,USA,1989,52.74
United States,USA,1990,54.19
United States,USA,1991,55.05
United States,USA,1992,55.6
United States,USA,1993,59.99
United States,USA,1994,59.24
United States,USA,1995,59.66
United States,USA,1996,61.73
United States,USA,1997,62.09
United States,USA,1998,62.78
United States,USA,1999,63.03
United States,USA,2000,60.11
United States,USA,2001,60.37
United States,USA,2002,62.43
United States,USA,2003,68.13
United States,USA,2004,65.36
United States,USA,2005,64.66
United States,USA,2006,71.79
United States,USA,2007,69.28
United States,USA,2008,63.74
United States,USA,2009,68.6
United States,USA,2010,72.47
United States,USA,2011,76.9
United States,USA,2012,77.67
United States,USA,2013,76.21
United States,USA,2014,74.32
United States,USA,2015,74.24
United States,USA,2016,72.83
United States,USA,2017,72.19
United States,USA,2018,72.47
United States,USA,2019,72.75
United States,USA,2020,72.44
Japan,JPN,1961,105.39
Japan,JPN,1962,109.57
Japan,JPN,1963,114.17
