Domain,Area,Element,Item,Year,Value
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1991","34873"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1992","34881"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1993","36995"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1994","39014"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1995","40021"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1996","41145"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1997","44693"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1998","46027"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","1999","45035"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2000","47824"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2001","47604"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2002","46524"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2003","46025"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2004","48296"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2005","51142"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2006","53757"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2007","56222"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2008","59408"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2009","59190"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2010","58997"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2011","61020"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2012","64471"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2013","68075"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2014","75358"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2015","78908"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2016","76699"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2017","77389"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2018","78809"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2019","75424"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2020","68700"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2021","71126"
"Credit to Agriculture","United States of America","Value US$","Credit to Agriculture, Forestry and Fishing","2022","73511"
