"","Year","Agr_Credit","Credit","Perc_Agr_Cred","GDP","Share"
"1",1997,4.4693e+10,2.942427e+12,1.51891618721552,8.58e+12,1.33691171
"2",1998,4.6027e+10,3.19564e+12,1.44030616715275,9.06e+12,1.213996911
"3",1999,4.5035e+10,3.45175e+12,1.30470051423191,9.63e+12,1.151241016
"4",2000,4.7824e+10,3.770691e+12,1.26830864687666,1.03e+13,1.150555364
"5",2001,4.7604e+10,3.838736e+12,1.24009569816731,1.06e+13,1.129256974
"6",2002,4.6524e+10,4.071973e+12,1.14254195693341,1.09e+13,0.97371186
"7",2003,4.6025e+10,4.331155e+12,1.06264957038019,1.15e+13,1.121047604
"8",2004,4.8296e+10,4.80909e+12,1.00426484012568,1.22e+13,1.26548363
"9",2005,5.1142e+10,5.298114e+12,0.965286892656519,1.3e+13,1.150506559
"10",2006,5.3757e+10,5.925866e+12,0.907158548640823,1.38e+13,1.009487187
"11",2007,5.6222e+10,6.564261e+12,0.856486358479652,1.45e+13,1.075123977
"12",2008,5.9408e+10,6.774245e+12,0.876968577310091,1.48e+13,1.053000597
"13",2009,5.919e+10,6.430441e+12,0.920465641470002,1.45e+13,0.960285892
"14",2010,5.8997e+10,6.542248e+12,0.901784829923904,1.5e+13,1.029437338
"15",2011,6.102e+10,6.666348e+12,0.915343753431414,1.56e+13,1.200559103
"16",2012,6.4471e+10,6.990805e+12,0.922225695037982,1.63e+13,1.149329643
"17",2013,6.8075e+10,7.190146e+12,0.946781887321899,1.68e+13,1.321084164
"18",2014,7.5358e+10,7.583852e+12,0.993663905888459,1.76e+13,1.172065105
"19",2015,7.8908e+10,8.128575e+12,0.970748255383016,1.82e+13,1.033933783
"20",2016,7.6699e+10,8.564409e+12,0.895555081500662,1.87e+13,0.942644553
"21",2017,7.7389e+10,8.966105e+12,0.863128415292928,1.95e+13,0.946868678
"22",2018,7.8809e+10,9.419544e+12,0.836654088563098,2.05e+13,0.903900643
"23",2019,7.5424e+10,9.822961e+12,0.767833650159051,2.14e+13,0.838812891
"24",2020,6.87e+10,1.0162042e+13,0.676045227917775,2.11e+13,0.948847432
"25",2021,7.1126e+10,1.0521811e+13,0.67598629171347,2.33e+13,0.959566657
