Domain,Area,Element,Item,Year,Value
"Credit to Agriculture","United States of America","Value US$","Total Credit","1991","2043243"
"Credit to Agriculture","United States of America","Value US$","Total Credit","1992","2022408"
"Credit to Agriculture","United States of America","Value US$","Total Credit","1993","2139359"
"Credit to Agriculture","United States of America","Value US$","Total Credit","1994","2344253"
"Credit to Agriculture","United States of America","Value US$","Total Credit","1995","2588225"
"Credit to Agriculture","United States of America","Value US$","Total Credit","1996","2795915"
"Credit to Agriculture","United States of America","Value US$","Total Credit","1997","2942427"
"Credit to Agriculture","United States of America","Value US$","Total Credit","1998","3195640"
"Credit to Agriculture","United States of America","Value US$","Total Credit","1999","3451750"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2000","3770691"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2001","3838736"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2002","4071973"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2003","4331155"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2004","4809090"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2005","5298114"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2006","5925866"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2007","6564261"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2008","6774245"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2009","6430441"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2010","6542248"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2011","6666348"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2012","6990805"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2013","7190146"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2014","7583852"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2015","8128575"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2016","8564409"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2017","8966105"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2018","9419544"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2019","9822961"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2020","10162042"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2021","10521811"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2022","11543511"
