Domain,Area,Element,Item,Year,Value
"Credit to Agriculture","Albania","Value US$","Total Credit","2021","4034.819455"
"Credit to Agriculture","Angola","Value US$","Total Credit","2021","7596.39278"
"Credit to Agriculture","Anguilla","Value US$","Total Credit","2021","229.02963"
"Credit to Agriculture","Antigua and Barbuda","Value US$","Total Credit","2021","1067.825926"
"Credit to Agriculture","Argentina","Value US$","Total Credit","2021","49615.014059"
"Credit to Agriculture","Armenia","Value US$","Total Credit","2021","7108.530835"
"Credit to Agriculture","Aruba","Value US$","Total Credit","2021","1900.782123"
"Credit to Agriculture","Australia","Value US$","Total Credit","2021","760903.5321"
"Credit to Agriculture","Austria","Value US$","Total Credit","2021","1405604.2976"
"Credit to Agriculture","Azerbaijan","Value US$","Total Credit","2021","10070.480157"
"Credit to Agriculture","Bahrain","Value US$","Total Credit","2021","29006.117021"
"Credit to Agriculture","Bangladesh","Value US$","Total Credit","2021","133850.45002"
"Credit to Agriculture","Barbados","Value US$","Total Credit","2021","2930.374989"
"Credit to Agriculture","Belgium","Value US$","Total Credit","2021","284822.8373"
"Credit to Agriculture","Belize","Value US$","Total Credit","2021","1156.511"
"Credit to Agriculture","Benin","Value US$","Total Credit","2021","2797.231558"
"Credit to Agriculture","Bhutan","Value US$","Total Credit","2021","2088.472571"
"Credit to Agriculture","Bolivia (Plurinational State of)","Value US$","Total Credit","2021","32712.203485"
"Credit to Agriculture","Botswana","Value US$","Total Credit","2021","6249.57751"
"Credit to Agriculture","Brazil","Value US$","Total Credit","2021","364922.88299"
"Credit to Agriculture","Bulgaria","Value US$","Total Credit","2021","43266.047479"
"Credit to Agriculture","Burkina Faso","Value US$","Total Credit","2021","4646.288954"
"Credit to Agriculture","Burundi","Value US$","Total Credit","2021","1010.093525"
"Credit to Agriculture","Cambodia","Value US$","Total Credit","2021","40141.647838"
"Credit to Agriculture","Canada","Value US$","Total Credit","2021","298085.94124"
"Credit to Agriculture","Costa Rica","Value US$","Total Credit","2021","27432.24118"
"Credit to Agriculture","Côte d'Ivoire","Value US$","Total Credit","2021","5915.75764"
"Credit to Agriculture","Czechia","Value US$","Total Credit","2021","177493.98474"
"Credit to Agriculture","Democratic Republic of the Congo","Value US$","Total Credit","2021","4251.340361"
"Credit to Agriculture","Dominica","Value US$","Total Credit","2021","436.951852"
"Credit to Agriculture","Dominican Republic","Value US$","Total Credit","2021","25097.12599"
"Credit to Agriculture","Ecuador","Value US$","Total Credit","2021","2313.4341"
"Credit to Agriculture","Egypt","Value US$","Total Credit","2021","122346.57547"
"Credit to Agriculture","El Salvador","Value US$","Total Credit","2021","15847.729687"
"Credit to Agriculture","Estonia","Value US$","Total Credit","2021","9832.949731"
"Credit to Agriculture","Ethiopia","Value US$","Total Credit","2021","29343.066461"
"Credit to Agriculture","Finland","Value US$","Total Credit","2021","117995.8517"
"Credit to Agriculture","France","Value US$","Total Credit","2021","1451895.5782"
"Credit to Agriculture","Gambia","Value US$","Total Credit","2021","181.826728"
"Credit to Agriculture","Georgia","Value US$","Total Credit","2021","6537.279765"
"Credit to Agriculture","Germany","Value US$","Total Credit","2021","2012462.5367"
"Credit to Agriculture","Ghana","Value US$","Total Credit","2021","9261.126135"
"Credit to Agriculture","Greece","Value US$","Total Credit","2021","85526.39522"
"Credit to Agriculture","Grenada","Value US$","Total Credit","2021","694.488889"
"Credit to Agriculture","Guatemala","Value US$","Total Credit","2021","30049.367247"
"Credit to Agriculture","Guinea-Bissau","Value US$","Total Credit","2021","248.744994"
